item,status,detalhes
"Repositorio Git","Concluido","Inicializado em C:\Users\matheus.marchiore\Desktop\Relatório geral"
"GitHub repo","Concluido","https://github.com/CastroMarcks/dashboard-clm"
"GitHub Pages","Concluido","https://castromarcks.github.io/dashboard-clm/"
"athena_reader.py","Concluido","Classe Athena com boto3 + awswrangler, sessao us-east-1, workgroup sales-ops"
"input_sandbox.py","Concluido","Funcao sandbox_inputador: salva DataFrame em Parquet no S3 (s3://dataplat-sandbox-datalake-sales-ops/tables/)"
"queries.py","Concluido","Query query_bsa_sfmc_clm_journeyhistory() - le de datalake_gold.bsa_sfmc_clm_journeyhistory"
"main.py","Concluido","Orquestra leitura Athena + salva CSV. AWS nao autenticada ainda no PC local"
"process_data.py","Concluido","Gera data.json agregado (cross-tab 986 linhas) a partir de dados.csv"
"dados.csv","Concluido","34k linhas, 14 colunas: id contato data_envio nome_jornada nome_atividade canal status id_empresa cnpj flag_pontual objetivo bu campanha metrica"
"data.json","Concluido","JSON agregado 166KB com cross-tabs por mes/bu/canal/objetivo/metrica/flag/status + top jornadas + heatmap"
"index.html V1","Concluido","Dashboard interativo com 4 abas: Visao Geral, Canais, Insights, Timeline"
"Filtros V1","Concluido","7 filtros: Data Inicio, Data Fim, BU, Canal, Objetivo, Metrica, Tipo (Pontual/Recorrente)"
"token.json","Copiado","Token Google Sheets OAuth (NAO e AWS). Ignorado no .gitignore"
"AWS Auth","Pendente","boto3.Session precisa de credenciais AWS. Usuario precisa rodar aws sso login ou aws configure"
"Dashboard V2","Pendente","Precisa de 2 CSVs exportados do Power BI para enriquecer o dash"
"CSV D_base_ativa","Pendente - exportar do PBI","Colunas: mes, qtd_empresas. Permite calcular % base atacada"
"CSV D_bio_erp_empresas","Pendente - exportar do PBI","Colunas: id_empresa, documento_empresa, nome, uf, cidade, tipo, porte, simei, ecommerce, comercio, industria, servico, cnae, situacao_conta, plano_atual, tier_atual, data_criacao, inicio_trial, data_cliente, data_cancelamento, total_acessos, etc."
"V2 - % Base atacada","Pendente","CNPJs comunicados / base ativa por mes"
"V2 - Corte por porte/tier/plano","Pendente","Segmentar disparos por caracteristicas da empresa"
"V2 - Corte por UF/cidade","Pendente","Distribuicao geografica dos disparos"
"V2 - Situacao conta","Pendente","Analise por ativa/trial/cancelada"
"V2 - Conversao trial->cliente","Pendente","Cruzar data_cliente com disparos para medir impacto"
"Projeto referencia portfolio","Info","C:\Users\matheus.marchiore\Desktop\Nova pasta\Port - GitHub Pages em https://github.com/CastroMarcks/portfolio"
"Projeto referencia ETL OLI","Info","C:\Users\matheus.marchiore\Downloads\ETL OLI-20260415T142116Z-3-001\ETL OLI"
"TDMLs Power BI","Info","C:\Users\matheus.marchiore\Desktop\Nova pasta\TMDLS - 21 arquivos TMDL com modelagem completa"
"PBIX Power BI","Info","C:\Users\matheus.marchiore\Desktop\Nova pasta\Versões finais\Versöes finais - 20+ arquivos .pbix (Conta, Envios, ERP, Geral, Testes)"
"Tabela F_Disparos","Info TMDL","Fato principal - mesmas colunas do dados.csv + coluna calculada base_erp"
"Tabela D_base_ativa","Info TMDL","Dimensao: mes + qtd_empresas. Fonte: Dataflow PBI workspace b9940d16"
"Tabela D_bio_erp_empresas","Info TMDL","Dimensao empresas: ~30 colunas. Relaciona com F_Disparos por cnpj/documento_empresa"
"Medidas Gerais TMDL","Info","Qtde_aberturas, Qtde_clicks, Qtde_disparos, Qtde_bounce, taxa_abertura_email, taxa_click, taxa_bounce, base_atacada_%, cnpj_comunicados, disparos_por_cnpj, etc."
